"date","value"
2021-01-31 23:59:52,720
2021-01-31 23:59:42,660
2021-01-31 23:57:58,660
2021-01-31 23:57:48,780
2021-01-31 23:55:53,780
2021-01-31 23:55:43,720
2021-01-31 23:53:59,720
2021-01-31 23:53:48,660
2021-01-31 23:52:56,660
2021-01-31 23:47:55,660
2021-01-31 23:47:44,540
2021-01-31 23:45:50,540
2021-01-31 23:45:39,600
2021-01-31 23:43:55,600
2021-01-31 23:43:45,660
2021-01-31 23:39:56,660
2021-01-31 23:39:45,600
2021-01-31 23:37:51,600
2021-01-31 23:37:41,660
2021-01-31 23:35:56,660
2021-01-31 23:35:46,600
2021-01-31 23:33:52,600
2021-01-31 23:33:41,660
2021-01-31 23:29:52,660
2021-01-31 23:29:42,720
2021-01-31 23:27:58,720
2021-01-31 23:27:48,660
2021-01-31 23:23:59,660
2021-01-31 23:23:48,600
2021-01-31 23:21:54,600
2021-01-31 23:21:43,660
2021-01-31 23:19:59,660
2021-01-31 23:19:49,720
2021-01-31 23:14:58,720
2021-01-31 23:09:56,720
2021-01-31 23:09:46,660
2021-01-31 23:05:57,660
2021-01-31 23:05:47,720
2021-01-31 23:01:58,720
2021-01-31 23:01:48,660
2021-01-31 23:00:56,660
2021-01-31 22:55:54,660
2021-01-31 22:55:44,600
2021-01-31 22:53:59,600
2021-01-31 22:53:49,660
2021-01-31 22:51:55,660
2021-01-31 22:51:44,720
2021-01-31 22:46:53,720
2021-01-31 22:41:51,720
2021-01-31 22:41:41,660
2021-01-31 22:37:00,660
2021-01-31 22:31:58,660
2021-01-31 22:31:48,720
2021-01-31 22:29:01,720
2021-01-31 22:23:59,720
2021-01-31 22:23:49,660
2021-01-31 22:21:55,660
2021-01-31 22:21:44,600
2021-01-31 22:19:50,600
2021-01-31 22:19:39,660
2021-01-31 22:15:50,660
2021-01-31 22:15:40,720
2021-01-31 22:14:58,720
2021-01-31 22:09:56,720
2021-01-31 22:09:46,660
2021-01-31 22:07:52,660
2021-01-31 22:07:41,720
2021-01-31 22:03:52,720
2021-01-31 22:03:42,780
2021-01-31 22:00:55,780
2021-01-31 21:55:54,780
2021-01-31 21:55:43,720
2021-01-31 21:54:51,720
2021-01-31 21:49:50,720
2021-01-31 21:49:39,780
2021-01-31 21:48:58,780
2021-01-31 21:43:56,780
2021-01-31 21:43:46,720
2021-01-31 21:41:51,720
2021-01-31 21:41:41,780
2021-01-31 21:39:57,780
2021-01-31 21:39:46,840
2021-01-31 21:37:52,840
2021-01-31 21:37:42,780
2021-01-31 21:37:00,780
2021-01-31 21:31:58,780
2021-01-31 21:31:48,840
2021-01-31 21:29:53,840
2021-01-31 21:29:43,780
2021-01-31 21:27:59,780
2021-01-31 21:27:48,840
2021-01-31 21:24:00,840
2021-01-31 21:23:49,900
2021-01-31 21:21:55,900
2021-01-31 21:21:44,840
2021-01-31 21:19:50,840
2021-01-31 21:19:39,900
